Customer_ID,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Mix_Score,Spending_Behaviour_Score,Occupation_Stability_Score,Credit_History_Months,Investment_Ratio,Debt_Burden_Ratio,Delay_Score,Age_Risk_Proxy,EMI_Income_Ratio,Savings_Rate,Credit_History_Score,Annual_Income_norm,Monthly_Inhand_Salary_norm,Num_Bank_Accounts_norm,Interest_Rate_norm,risk_score,risk_label,risk_label_encoded
CUS_0x102e,26,50807.44,4197.953333333334,8.0,4.0,11.0,4.0,12.0,10.75,1.85,5.25,869.59,0.6090020315664584,88.75991924748364,179.58556045759255,418.94985362825724,0.5,0.275,0.6428571428571428,276.75,0.006719503324597121,0.026580932981881963,0.2570621468926554,0.7894736842105262,0.0070478724732798365,0.9894281912068734,0.672348484848485,0.22369133868379146,0.2768077090261716,0.7272727272727273,0.3030303030303031,0.014330189529163725,Medium,2
CUS_0x1032,40,60410.94,5274.245,4.0,7.0,17.0,4.0,21.75,9.25,8.65,9.0,1852.86,0.41933348084273003,149.9263873826631,105.67489112890776,500.3811299044288,0.5,0.6472222222222223,0.9523809523809526,197.5,0.0021624201172213186,0.04783249426855169,0.3502824858757062,0.42105263157894723,0.009475377509276175,0.9857869336770522,0.47222222222222227,0.2733344674719954,0.35803283169340716,0.36363636363636365,0.48484848484848486,0.09308379139362599,Medium,2
CUS_0x1037,45,15989.085,1086.42375,5.0,4.0,2.0,4.0,10.0,15.0,0.5,3.0,665.82,0.4643198368134076,33.797020629881075,103.97827954744128,252.31783222850564,0.875,0.4444444444444445,0.4047619047619049,239.5,0.017324632830109567,0.06503253376050241,0.2824858757062147,0.2894736842105263,0.010369502261823886,0.9844457461827567,0.5782828282828284,0.043705699962657954,0.04198811512211928,0.4545454545454546,0.030303030303030304,0.37295419227608595,High,0
CUS_0x1044,44,33441.59,2748.799166666666,2.0,4.0,1.0,0.0,2.0,3.75,9.58,59.0,154.96,0.4512941112342115,0.0,192.04336319943894,355.3365534672277,1.0,0.30000000000000004,0.7559523809523809,385.5,0.012146565684181414,0.0070129256525492305,0.06497175141242938,0.3157894736842105,0.0,0.9999999998543849,0.9469696969696971,0.1339224910692101,0.1674435574706897,0.18181818181818182,0.0,0.7886826182244322,Very_High,3
CUS_0x106f,55,134035.08,11102.589999999998,0.0,5.0,10.0,2.0,5.0,5.25,9.32,8.0,767.91,0.8128642536557533,143.48373199958996,306.1836562056117,910.5916117947982,1.0,0.7472222222222221,0.5952380952380953,301.75,0.0036735450480998993,0.008730262137048488,0.11581920903954802,0.02631578947368418,0.0043078156234015825,0.9935382765559112,0.7354797979797981,0.6539178656019229,0.7978838983082208,0.0,0.2727272727272727,1.0439888202875933,Very_High,3
CUS_0x107e,15,75095.91,6269.9925,5.0,6.0,15.0,6.0,8.0,10.0,14.28,8.25,989.71,0.45166024014245365,261.8424087127099,2628.991867786963,474.37017281794436,0.5,0.8666666666666667,0.7023809523809526,146.5,0.08216260857617737,0.020410104008897822,0.2033898305084746,0.9999999999999999,0.01392039988729113,0.9791194001248433,0.3434343434343435,0.3492451101502806,0.4331794813776716,0.4545454545454546,0.4242424242424243,0.050611910176258185,Medium,2
CUS_0x1087,51,42153.13,3377.7608333333333,5.0,4.0,10.0,3.0,10.25,10.75,4.81,7.0,1027.64,0.6304561253461967,79.29961145958775,69.36328572942367,434.11318614432196,0.875,0.8055555555555555,1.0,343.5,0.0022624578363010872,0.03796795329971334,0.23728813559322035,0.13157894736842102,0.007825658806621722,0.988261511677897,0.840909090909091,0.17895483366967768,0.21490976956746236,0.4545454545454546,0.2727272727272727,0.5477452480923012,High,0
CUS_0x109b,55,31641.93,2610.8275,4.0,6.0,7.0,3.0,24.0,12.75,6.869999999999999,3.5,583.6,0.5194072732802912,60.336299265191144,81.35084355603061,379.3956071787783,0.5,0.5944444444444444,0.4761904761904763,247.25,0.004391141372239311,0.0286636374080038,0.4152542372881356,0.02631578947368418,0.007703343000393697,0.9884449853437627,0.5978535353535355,0.12461955431125946,0.1570311702928619,0.36363636363636365,0.18181818181818182,0.23064829944882573,High,0
CUS_0x10d7,39,15968.14,1380.678333333333,7.0,7.0,21.0,9.0,37.0,18.25,18.26,14.0,4806.966900000001,0.47663956284941245,77.99711821646055,2554.0442721951517,240.91645653643752,0.125,0.3111111111111111,0.5952380952380953,150.25,0.3688025399098196,0.4716931991736043,0.6242937853107344,0.4473684210526315,0.01883062749589723,0.971754058429271,0.35290404040404044,0.04359742950579651,0.06419479512055179,0.6363636363636364,0.6060606060606061,-0.6341462380102314,Low,1
CUS_0x10e2,37,43133.85000000001,3432.487500000001,10.0,10.0,31.0,7.0,41.75,24.5,6.16,11.0,2504.1,0.5058812127404968,151.28725497549289,2667.3493534678314,276.2231747219585,0.125,0.3500000000000001,0.3333333333333335,131.5,0.15385352200967323,0.0907623283816683,0.748587570621469,0.4999999999999999,0.014691702439452219,0.9779624462306377,0.3055555555555556,0.1840244446724546,0.2190398584186898,0.9090909090909092,0.9090909090909092,-0.7784316870496394,Very_Low,4
CUS_0x1100,22,43062.54,3607.545,6.0,10.0,23.0,2.0,56.25,20.0,18.55,13.0,2169.75,0.30279061001052177,47.499818741612366,110.58170235315357,455.172978905234,0.5,0.586111111111111,0.4047619047619049,185.75,0.004289727794780535,0.0787406477365284,0.8615819209039548,0.8947368421052632,0.004388932891892369,0.9934166005596068,0.44255050505050514,0.1836558236994877,0.2322510235254092,0.5454545454545454,0.6666666666666667,-0.3839898461448024,Low,1
CUS_0x1123,15,15264.98,1266.0816666666667,6.0,5.0,34.0,3.0,26.25,14.5,10.68,14.0,2375.88,0.5553737402228234,36.79009671120451,77.19620521130128,300.1218647441609,0.375,0.11666666666666668,0.11309523809523836,108.5,0.01036488663984042,0.2437556155097599,0.4604519774011299,0.9999999999999999,0.009686077828614602,0.9854708828979142,0.2474747474747475,0.0399626023658253,0.0555464625211886,0.5454545454545454,1.0,-0.6941330563872287,Low,1
CUS_0x112d,23,14728.21,1480.3508333333332,10.0,9.0,31.0,5.0,49.5,10.5,10.77,7.0,2390.37,0.47562332223572823,2222.439238459661,102.85574568394745,283.5936863698379,0.5,0.20833333333333337,0.4047619047619049,205.5,0.012069662977504083,0.25419084987291274,0.6779661016949152,0.8684210526315789,0.5004307508092661,0.24935387345739013,0.49242424242424254,0.03718789082944332,0.0717168370444882,0.9090909090909092,0.9090909090909092,-0.7424644158558991,Very_Low,4
CUS_0x1132,39,46268.4,3983.7,5.0,4.0,20.0,4.0,26.5,16.75,7.33,9.0,1447.57,0.5953233683628034,17702.08353756761,158.04268212944532,404.0492677804077,0.5,0.35,0.0,170.5,0.006096956790857449,0.04879732795961907,0.4887005649717514,0.4473684210526315,1.0,0.0,0.4040404040404041,0.2002277944244267,0.2606385294061515,0.4545454545454546,0.5757575757575758,-0.2490827364514639,Low,1
CUS_0x1136,22,37360.94,2864.411666666667,10.0,5.0,33.0,5.0,44.0,11.25,8.89,12.0,1271.23,0.5465475720294288,5660.00630992537,117.65843335553731,330.44098674396884,0.5,0.5111111111111112,0.9523809523809526,144.5,0.006378199893889966,0.0530918086671897,0.6242937853107344,0.8947368421052632,0.6586583874349293,0.012012418673485903,0.33838383838383845,0.15418268754091807,0.17616855254888178,0.9090909090909092,0.9696969696969697,-0.7020104023826889,Low,1
CUS_0x1138,44,154868.24,13051.686666666665,2.0,5.0,10.0,0.0,14.75,3.0,3.66,6.0,242.75,0.6417537941613967,0.0,421.70120523749944,1133.4674614291673,1.0,0.8666666666666667,0.9523809523809526,361.75,0.004621780980731598,0.002205776951573394,0.20056497175141244,0.3157894736842105,0.0,0.9999999999979733,0.8869949494949496,0.7616101907901626,0.9449774982527525,0.18181818181818182,0.2727272727272727,1.0242524111441733,Very_High,3
CUS_0x1140,31,7621.8,914.15,6.0,10.0,28.0,6.0,18.0,19.0,27.01,14.0,4128.98,0.38206294870839974,9591.429697521762,5014.556322817577,285.1744055581957,0.125,0.48333333333333345,0.4047619047619049,85.5,1.0000000000000002,0.8490454861478804,0.4180790960451977,0.6578947368421052,1.0,0.0,0.18939393939393942,0.0004529059956035336,0.028987032878835153,0.5454545454545454,0.8181818181818182,-0.9278087495899672,Very_Low,4
CUS_0x114a,43,15305.46,1230.455,0.0,7.0,2.0,2.0,16.5,3.0,11.45,2.0,642.42,0.1267506128909459,20.301653868439384,55.805826301481275,319.4380198300794,1.0,0.24444444444444446,0.5952380952380953,191.25,0.007235357032935032,0.06555161109392259,0.22033898305084745,0.3421052631578948,0.005499768744608045,0.9917503465127173,0.456439393939394,0.04017185460233766,0.052857804362952635,0.0,0.030303030303030304,0.5199891382575618,High,0
CUS_0x1151,41,17692.27,1335.3558333333333,6.0,5.0,29.0,6.0,35.5,24.75,28.12,9.0,3762.64,0.3084304585331461,78.44723488236784,114.38591765060934,225.70243080035615,0.0,0.21944444444444444,0.16666666666666674,139.5,0.015311425962701936,0.3331621569237168,0.6807909604519774,0.39473684210526316,0.019582105100231464,0.9706268420104375,0.3257575757575758,0.05250993095189492,0.06077441592771922,0.5454545454545454,0.8484848484848485,-0.7790293013692512,Very_Low,4
CUS_0x1156,25,10060.015,1103.3345833333333,3.0,9.0,17.0,6.0,19.25,12.0,10.04,15.0,1971.81,0.6507322262487969,32.28432276915212,44.97173185558704,318.07740370859415,0.5,0.23333333333333334,0.7559523809523809,132.5,0.006314858906610478,0.3070330331717069,0.3531073446327684,0.8157894736842105,0.009753560774633997,0.985369658420629,0.3080808080808081,0.013056708906868247,0.04326433471430402,0.2727272727272727,0.48484848484848486,-0.22189667039096042,Low,1
CUS_0x1182,24,176696.88,13780.774640498716,5.0,7.0,12.0,4.0,4.0,7.5,4.01,6.0,433.68,0.5382964589452506,5692.106837372339,670.4143094800459,755.1159335247878,0.875,0.6361111111111111,0.04761904761904767,208.5,0.007895519154862543,0.003596224329261575,0.12994350282485875,0.8421052631578946,0.13768231432194966,0.7934765285095824,0.5000000000000001,0.8744484254745319,1.0,0.4545454545454546,0.33333333333333337,0.6028647042286258,High,0
CUS_0x1190,45,44134.06,3182.4816954086864,4.0,4.0,9.0,3.0,29.0,18.5,4.9,5.0,809.59,0.5400247685991639,551.2715538571302,2674.1413788899695,368.9107547086126,1.0,0.43888888888888894,0.29166666666666674,284.5,0.16651290576099942,0.02850686482256454,0.536723163841808,0.2894736842105263,0.05774021727333315,0.9133896739660303,0.691919191919192,0.1891948048375245,0.20017252647293426,0.36363636363636365,0.2424242424242424,0.4049540466153456,High,0
CUS_0x1192,47,16319.375,1518.947916666667,7.0,3.0,1.0,2.0,15.75,13.0,6.92,9.0,1275.32,0.5928002611552883,16.291128824626224,91.46377816984504,321.6398846721955,0.5,0.32500000000000007,0.3333333333333335,287.25,0.010213143024952336,0.12226362454838997,0.3248587570621469,0.23684210526315785,0.003575090502916837,0.9946373639525374,0.6988636363636365,0.045413059676039105,0.07462966534692872,0.6363636363636364,0.0,0.15726111676198193,Medium,2
CUS_0x1197,29,92300.01,7437.6675,2.0,4.0,11.0,3.0,28.75,9.5,19.21,2.5,755.17,0.5012353836901096,211.74780891351924,331.233316535973,470.78562455050775,0.5,0.4611111111111112,0.7559523809523809,229.5,0.00707120470569018,0.012575175067905302,0.4322033898305085,0.7105263157894736,0.00948988415544029,0.9857651737353802,0.5530303030303031,0.4381778275954974,0.5213010826571862,0.18181818181818182,0.3030303030303031,0.24277619246310034,High,0
